"Data de referência dos dados: 01 de outubro de 2020","","","","","","","","","","","","","","","","","","","",""
"Empreendimento","CEG","UF","Fonte","Fase","Origem","Tipo","Tipo de Atuação","Combustível Final","Entrada em Operação","Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)","Geracao Qualificada","Latitude (GMS)","Longitude (GMS)","Início Vigência","Fim Vigência","Proprietário / Regime de Exploração","Cod e Descrição Sub-Bacia","Município (s)"
"Santa Fé I","PCHPHRJ028752-0","RJ","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","09/05/2008","30,000.00","30000","26100","Não","-1","-1","06-11-2002","06-11-2032","100% para SANTA FÉ ENERGÉTICA S/A (PIE)","","Comendador Levy Gasparian - RJ, Três Rios - RJ, Santana do Deserto - MG"
"Santa Gabriela","PCHPHMT028996-5","MT","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","18/09/2009","24,000.00","24000","17870","Não","-1","-1","11-12-2003","11-12-2033","100% para Santa Gabriela Energética S.A. (PIE)","","Sonora - MS, Itiquira - MT"
"Santa Helena","UTEAIMS030173-6","MS","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","08/02/2011","10,000.00","10000","0","Não","21°59'49,774""S","53°25'34,542""W","17-05-2011","17-05-2041","100% para ENERGÉTICA SANTA HELENA S/A (PIE)","","Nova Andradina - MS"
"Santa Helena","UTEAISP028213-8","SP","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","01/01/1990","4,800.00","4800","0","Não","22°47'56""S","47°39'40""W","","","100% para RAÍZEN ENERGIA S.A (REG)","","Rio das Pedras - SP"
"Santa Helena","EOLCVRN030834-0","RN","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","06/05/2015","29,700.00","29700","16000","Não","5°28'19,39""S","35°54'58,17""W","09-04-2012","09-04-2047","100% para SANTA HELENA ENERGIAS RENOVÁVEIS S.A (PIE)","","João Câmara - RN"
"Santa Helena","CGHPHSP026710-4","SP","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/01/1936","2,240.00","2240","0","Não","-1","-1","","","100% para COMPANHIA BRASILEIRA DE ALUMÍNIO (REG)","","São Paulo - SP"
"Santa Helena","PCHPHMG030961-3","MG","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","18/07/2014","5,335.00","5335","2060","Não","-1","-1","17-10-2012","17-10-2032","100% para SANTA HELENA ENERGIA S/A (PIE)","","Lassance - MG"
"Santa Helena Açúcar e Álcool","UTEAIGO028115-8","GO","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","15/05/2001","4,400.00","4400","0","Não","17°49'21""S","50°32'21,48""W","","","100% para Usina Santa Helena  Açúcar e Álcool S.A. (REG)","","Santa Helena de Goiás - GO"
"SANTA HELENA DO ACARAÍ","CGHPHBA033654-8","BA","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","17/05/2015","419.98","419.98","0","Não","-1","-1","","","100% para Schultz Empreendimentos Imobiliários S/A. (REG)","","Camamu - BA"
"Santa Hermínia","UTEAISP028452-1","SP","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","29/12/2001","1,200.00","1200","0","Não","22°48'52,355""S","50°4'44,85""W","","","100% para Usina Santa Hermínia S.A (REG)","","Ibirarema - SP"
"Santa Inês","UTEAISP029810-7","SP","UTE","Construção não iniciada","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","-","12,500.00","0","0","Não","21° 5' 2,600"" S","48° 2' 4,390"" W","28-05-2019","28-05-2054","100% para IRMÃOS TONIELLO LTDA (APE)","","Sertãozinho - SP"
"Santa Isabel","UTEAISP028401-7","SP","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","01/08/1980","44,000.00","46000","14900","Não","21°28'6,51""S","49°13'18,3""W","01-06-2006","03-11-2039","100% para USINA SANTA ISABEL S/A (PIE)","","Novo Horizonte - SP"
"Santa Isabel do Rio Negro","UTEPEAM002779-0","AM","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","24/03/2012","2,840.00","2840","0","Não","0°25'14""S","65°2'7""W","","","100% para AMAZONAS ENERGIA S.A (REG)","","Santa Isabel do Rio Negro - AM"
"Santa Isabel do Rio Negro - COE","UTEPEAM037693-0","AM","UTE","Construção","Fóssil","Petróleo","Autorização","Óleo Diesel","-","5,427.00","0","0","Não","0° 25' 14,000"" S","65° 2' 7,000"" W","02-08-2017","02-08-2052","100% para OLIVEIRA ENERGIA GERAÇÃO E SERVIÇOS LTDA (PIE)","","Santa Isabel do Rio Negro - AM"
"Santa Izabel","CGHPHMS029430-6","MS","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","20/09/2009","1,000.00","1000","0","Não","-1","-1","","","100% para Usina Hidrelétrica Santa Izabel Ltda. (REG)","","Campo Grande - MS, Jaraguari - MS"
"Santa Juliana","UTEAIMG030166-3","MG","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","09/09/2010","82,000.00","88000","13600","Não","19° 18' 22,680"" S","47° 28' 24,600"" W","16-09-2009","16-09-2039","100% para Agroindustrial Santa Juliana S.A. (PIE)","","Santa Juliana - MG"
"Santa Laura","PCHPHSC027972-2","SC","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","01/10/2007","15,000.00","15000","7990","Não","-1","-1","28-09-2000","28-09-2030","100% para Santa Laura S.A (PIE)","","Faxinal dos Guedes - SC, Ouro Verde - SC"
"Santa Lúcia","UTEAISP027912-9","SP","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","11/10/1999","4,400.00","4400","0","Não","22°20'8""S","47°24'30""W","","","100% para Usina Santa Lúcia S.A. (REG)","","Araras - SP"
"Santa Lúcia","PCHPHMT027987-0","MT","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","","5,000.00","5000","0","Não","-1","-1","26-10-2000","26-10-2030","100% para MAGGI ENERGIA S/A (PIE)","","Sapezal - MT"
"Santa Lúcia II","PCHPHMT028395-9","MT","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","14/04/2003","7,600.00","7600","0","Não","-1","-1","11-12-2001","11-12-2031","100% para MAGGI ENERGIA S/A (PIE)","","Sapezal - MT"
"Santa Luz","UTEFLRR044606-8","RR","UTE","Construção","Biomassa","Floresta","Autorização","Resíduos Florestais","-","10,000.00","0","0","Não","3° 10' 46,912"" N","60° 49' 35,019"" W","09-08-2019","09-08-2054","100% para SANTA LUZ GERAÇÃO E COMÉRCIO DE ENERGIA SPE S/A (PIE)","","Boa Vista - RR"
"Santa Luzia","PCHPHBA035105-9","BA","PCH","Construção não iniciada","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","-","15,500.00","0","0","Não","12°33'19""S","45°05'49""W","19-07-2019","19-07-2054","100% para ARA GERAÇÃO DE ENERGIA SANTA LUZIA SPE LTDA. (PIE)","46 - Grande e outros - Sao Francisco","São Desidério - BA"
"Santa Luzia","CGHPHMG027421-6","MG","CGH","Operação","Hídrica","Potencial hidráulico","Concessão","Potencial hidráulico","","704.00","704","0","Não","-1","-1","25-02-2006","25-02-2026","100% para CEMIG GERAÇÃO E TRANSMISSÃO S.A (SP)","","Centralina - MG"
"Santa Luzia","CGHPHBA030590-1","BA","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","23/08/2011","533.60","533.6","0","Não","13°59'5,66""S","39°28'37,418""W","","","100% para CJ 2 PARTICIPAÇÕES LTDA (REG)","52 - Contas","Ibirapitanga - BA"
"Santa Luzia","CGHPHES038158-6","ES","CGH","Construção","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","-","1,512.00","0","910","Não","20°46'25,032""S","40°59'15,013""W","08-05-2018","08-05-2053","100% para ENERVIX- ENERGIAS DO ESPIRITO SANTO LTDA (PIE)","57 - Litoraneas do Espirito Santo","Rio Novo do Sul - ES"
"Santa Luzia Alto","PCHPHSC029652-0","SC","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","01/07/2011","28,500.00","28500","18420","Não","26°36'40,18""S","52°32'3,25""W","21-12-2007","21-12-2042","100% para SANTA LUZIA ENERGÉTICA S/A (PIE)","73 - Uruguai, Chapeco,Passo Fundo e outros","Ipuaçu - SC, São Domingos - SC"
"Santa Luzia D´Oeste","PCHPHRO026716-3","RO","PCH","Operação","Hídrica","Potencial hidráulico","Concessão","Potencial hidráulico","","3,000.00","3000","0","N/I","-1","-1","29-04-1993","29-04-2023","100% para Hidroelétrica Bergamin Ltda. (APE)","","Alto Alegre do Parecis - RO"
"Santa Luzia I","UTEAIMS030006-3","MS","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","02/12/2010","130,000.00","130000","0","Não","21°27'59,882""S","54°22'58,094""W","16-01-2009","16-01-2044","100% para Agro energia Santa Luzia S.A (PIE)","","Nova Alvorada do Sul - MS"
"Santa Maria","UTEFLPR029768-2","PR","UTE","Operação","Biomassa","Floresta","Autorização","Resíduos Florestais","26/11/2009","6,400.00","6400","0","Não","25° 26' 49,000"" S","51° 39' 17,000"" W","18-09-2008","18-09-2038","100% para SANTA MARIA CIA DE PAPEL E CELULOSE (APE)","","Guarapuava - PR"
"Santa Maria","EOLCVPE029019-0","PE","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","24/04/2010","4,950.00","4950","1200","Não","8° 17' 40.846"" S","35° 35' 44.039"" W","30-12-2003","30-12-2033","100% para Eólica Gravatá - Geradora de Energia S.A. (PIE)","","Gravatá - PE"
"Santa Maria","CGHPHSC044298-4","SC","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/06/2018","513.00","513","0","Não","-1","-1","","","100% para CENTRAL GERADORA HIDROELETRICA SANTA MARIA LTDA (REG)","","São Bonifácio - SC"
"Santa Maria","PCHPHSC030681-9","SC","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","01/01/1999","3,200.00","3470","1910","Não","-1","-1","23-11-2011","23-11-2041","100% para COOPERATIVA GERADORA DE ENERGIA ELÉTRICA E DESENVOLVIMENTO SANTA MARIA (PIE)","","Benedito Novo - SC"
"Santa Maria","CGHPHSP026721-0","SP","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/01/1951","3,000.00","3000","0","Não","-1","-1","","","100% para Maringá Ferro Liga S.A. (REG)","","Itapeva - SP"
"Santa Maria","CGHPHES027182-9","ES","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","30/06/1946","240.00","240","0","Não","-1","-1","","","100% para SANTA MARIA GERACAO E TRANSMISSAO DE ENERGIA S/A (REG)","","Colatina - ES"
"SANTA MARIA - 1","UTEPERS033341-7","RS","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/01/1999","640.00","640","0","Não","29°42'27""S","53°48'45""W","","","100% para Claro S.A (REG)","","Santa Maria - RS"
"Santa Maria Açucareira","UTEAIAL031179-0","AL","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","01/09/2002","4,600.00","4600","0","Não","9°3'8,813""S","35°23'54,002""W","","","100% para Central Açucareira Usina Santa Maria S.A. (REG)","","Porto Calvo - AL"
"Santa Maria das Barreiras","UTEPEPA026722-8","PA","UTE","Operação","Fóssil","Petróleo","Concessão","Óleo Diesel","","1,112.00","1112","0","Não","8° 50' 40,000"" S","49° 43' 53,000"" W","28-07-1998","28-07-2028","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (SP)","","Santa Maria das Barreiras - PA"
"Santa Maria de Lençóis","UTEAISP028337-1","SP","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","01/04/2008","3,040.00","3040","0","Não","22° 35' 22,000"" S","48° 46' 35,000"" W","","","100% para Destilaria Santa Maria de Lençois Ltda (REG)","","Lençóis Paulista - SP"
"Santa Marta","CGHPHMG026725-2","MG","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/01/1944","1,000.00","1000","580","Não","-1","-1","","","100% para CEMIG GERAÇÃO E TRANSMISSÃO S.A (REG)","","Grão Mogol - MG"
"Santa Marta","CGHPHMG029978-2","MG","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/11/2008","288.00","288","0","Não","-1","-1","","","100% para Mario Antônio de Almeida Júnior (REG)","","Sacramento - MG"
"Santa Mônica","EOLCVRN031427-7","RN","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","09/12/2016","29,400.00","29400","15600","Não","5° 16' 47,388"" S","35° 48' 2,011"" W","01-04-2014","01-04-2044","100% para Santa Mônica Energias Renováveis S.A. (PIE)","","Touros - RN"
"Santa Mônica","PCHPHGO029656-2","GO","PCH","Construção não iniciada","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","-","30,000.00","0","0","Não","-1","-1","27-12-2007","24-12-2037","100% para CENTRAIS CONSTRUÇÕES PESADAS S/A (PIE)","","Cavalcante - GO"
"Santa Mônica I","EOLCVCE032013-7","CE","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","11/10/2016","18,900.00","18900","0","Não","3°15'34""S","39°16'54""W","26-01-2015","26-01-2045","100% para CENTRAL EOLICA SANTA MONICA SPE S.A. (PIE)","","Trairi - CE"
"SANTA MONICA INDUSTRIA TÊXTIL E COMERCIO","UTEGNSE034875-9","SE","UTE","Operação","Fóssil","Gás natural","Registro","Gás Natural","01/09/2015","1,200.00","1200","0","Não","10°53'43,44""S","37°3'3,5""W","","","100% para Santa Maria Participações Ltda (REG)","","Aracaju - SE"
"Santa Quitéria","CGHPHMG030194-9","MG","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","","800.00","800","0","Não","-1","-1","","","100% para SANTA QUITÉRIA GERADORA DE ENERGIA LTDA (REG)","","Carmo do Rio Claro - MG"
"Santa Rita","UTEAISP028189-1","SP","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","01/01/1978","6,400.00","6700","0","Não","21°42'25,718""S","47°28'44,332""W","16-04-2001","16-04-2031","100% para Usina Santa Rita S.A - Açúcar e Álcool (APE)","","Santa Rita do Passa Quatro - SP"
"Santa Rita","CGHPHMG030652-5","MG","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/01/2010","297.00","297","0","Não","-1","-1","","","100% para Vilanova Energia Ltda (REG)","","Nova Resende - MG"
"SANTA RITA DE CASSIA","CGHPHPR035763-4","PR","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","20/05/2016","846.40","846.4","0","Não","-1","-1","","","100% para Maria Lúcia Moreno Dainez (REG)","","Pinhalão - PR"
"Santa Rita do Araguaia","CGHPHMT030076-4","MT","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/01/2011","900.00","900","0","Não","-1","-1","","","100% para PROMEDE – Agrimensura e Engenharia Ltda. (REG)","","Santa Rita do Araguaia - MT"
"Santa Rita do Weil","UTEPEAM029213-3","AM","UTE","Operação","Fóssil","Petróleo","Autorização","Óleo Diesel","","1,050.00","900","0","Não","4° 29' 52,116"" S","69° 27' 2,520"" W","21-07-1987","21-07-2017","100% para AMAZONAS ENERGIA S.A (SP)","","São Paulo de Olivença - AM"
"Santa Rita do Well - CGA","UTEPEAM035832-0","AM","UTE","Construção não iniciada","Fóssil","Petróleo","Autorização","Óleo Diesel","-","1,408.00","0","0","Não","3°33'30""S","69°21'4""W","19-08-2016","19-08-2051","100% para AGGREKO ENERGIA LOCAÇÃO DE GERADORES LTDA. (PIE)","","São Paulo de Olivença - AM"
"Santa Rosa","UTEAISP027920-0","SP","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","01/01/1987","2,760.00","2760","0","Não","23°14'18""S","47°36'46,8""W","","","100% para Usina Santa Rosa Ltda. (REG)","","Boituva - SP"
"Santa Rosa","PCHPHRS026730-9","RS","PCH","Operação","Hídrica","Potencial hidráulico","Concessão","Potencial hidráulico","01/01/1955","1,580.00","1400","820","Não","-1","-1","04-12-2012","31-12-2042","100% para COMPANHIA ESTADUAL DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA - CEEE-GT (SP)","","Três de Maio - RS"
"Santa Rosa","CGHPHRJ000960-1","RJ","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","18/09/1978","680.00","680","0","Não","-1","-1","","","100% para Hidro Rock Energia e Mineração Ltda - ME (REG)","","Valença - RJ"
"Santa Rosa","CGHPHSC028205-7","SC","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/06/2002","940.00","940","0","Não","-1","-1","","","100% para Industrias de Compensados Guararapes Ltda (REG)","","Abelardo Luz - SC, Vargeão - SC"
"Santa Rosa","PCHPHSC028844-6","SC","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","14/12/2013","6,700.00","6700","0","Não","28°0'42,663""S","49°7'17,108""W","19-12-2002","19-12-2032","100% para PCH Santa Rosa S.A (PIE)","84 - Tubarao, Capivari e outros","Santa Rosa de Lima - SC"
"Santa Rosa","PCHPHSC034059-6","SC","PCH","Construção não iniciada","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","-","9,900.00","0","0","Não","26°40'34,74""S","52°5'45,836""W","26-05-2017","26-05-2052","100% para SANTA ROSA ENERGIA E PARTICIPACOES S.A. (PIE)","73 - Uruguai, Chapeco,Passo Fundo e outros","Abelardo Luz - SC, Passos Maia - SC, Vargeão - SC"
"Santa Rosa do Purus – BBF Acre","UTEPEAC034415-0","AC","UTE","Operação","Fóssil","Petróleo","Autorização","Óleo Diesel","15/09/2016","2,055.20","2055.2","0","Não","9°26'27""S","70°29'6""W","13-08-2015","13-08-2045","87% para AMAZONBIO - INDÚSTRIA E COMÉRCIO DE BIODIESEL DA AMAZÔNIA LTDA. (PIE) 13% para BRASIL BIO FUELS S.A. (PIE)","","Santa Rosa do Purus - AC"
"Santa Rosa e Mundo Novo I","EOLCVRN035210-1","RN","EOL","Construção não iniciada","Eólica","Cinética do vento","Autorização","Cinética do vento","-","33,600.00","0","17300","Não","5°54'47,669""S","36°9'14,12""W","04-06-2018","04-06-2053","100% para CENTRAL EÓLICA SRMN I S.A. (PIE)","","São Tomé - RN"
"Santa Rosa e Mundo Novo II","EOLCVRN035211-0","RN","EOL","Construção não iniciada","Eólica","Cinética do vento","Autorização","Cinética do vento","-","29,400.00","0","17200","Não","5°53'0,604""S","36°11'51,074""W","04-06-2018","04-06-2053","100% para CENTRAL EÓLICA SRMN II S.A. (PIE)","","São Tomé - RN"
"Santa Rosa e Mundo Novo III","EOLCVRN035212-8","RN","EOL","Construção não iniciada","Eólica","Cinética do vento","Autorização","Cinética do vento","-","33,600.00","0","21500","Não","5°51'13,304""S","36°15'37,304""W","04-06-2018","04-06-2053","100% para CENTRAL EÓLICA SRMN III S.A. (PIE)","","Lajes - RN"
"Santa Rosa e Mundo Novo IV","EOLCVRN037663-9","RN","EOL","Construção não iniciada","Eólica","Cinética do vento","Autorização","Cinética do vento","-","33,600.00","0","21000","Não","5°52'27,879""S","36°16'0,255""W","01-06-2018","01-06-2053","100% para CENTRAL EÓLICA SRMN IV S.A. (PIE)","","Cerro Corá - RN"
"Santa Rosa e Mundo Novo V","EOLCVRN037664-7","RN","EOL","Construção não iniciada","Eólica","Cinética do vento","Autorização","Cinética do vento","-","25,200.00","0","9000","Não","5°54'1,577""S","36°12'19,907""W","01-06-2018","01-06-2053","100% para CENTRAL EÓLICA SRMN V S.A. (PIE)","","São Tomé - RN"
"Santa Rosa I","PCHPHRJ028394-0","RJ","PCH","Construção não iniciada","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","-","17,300.00","0","5400","Não","-1","-1","11-12-2001","11-12-2031","100% para Santa Rosa Energética S.A. (PIE)","","Belmiro Braga - MG, Rio das Flores - RJ"
"Santa Rosa II","PCHPHRJ026732-5","RJ","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","25/06/2008","30,000.00","30000","17070","Não","22°7'19,74""S","42°18'34,953""W","01-06-2001","01-06-2031","100% para Santa Rosa S.A (PIE)","58 - Paraiba do Sul","Bom Jardim - RJ, Cordeiro - RJ"
"Santa Teresa","UTEAIPE028933-7","PE","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","","20,200.00","20200","0","Não","7° 33' 8,820"" S","35° 2' 4,560"" W","13-08-2003","13-08-2033","100% para Empresa Energética Santa Teresa Ltda (PIE)","","Goiana - PE"
"Santa Tereza","CGHPHSP028330-4","SP","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","","588.00","588","0","Não","-1","-1","","","100% para Companhia Industrial de Bebidas São Paulo (REG)","","Amparo - SP, Pedreira - SP"
"Santa Terezinha","UTEAIPR028149-2","PR","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","31/05/2006","50,500.00","50500","20650","Não","23° 45' 7,200"" S","52° 52' 58,080"" W","05-05-2004","05-05-2034","100% para USINA DE ACUCAR SANTA TEREZINHA LTDA (PIE)","","Tapejara - PR"
"Santa Terezinha","CGHPHSP030188-4","SP","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/06/2008","493.00","493","0","Não","21°18'57""S","47°11'57""W","","","100% para CUNALI ENERGIA LTDA (REG)","61 - Grande","Cássia dos Coqueiros - SP"
"Santa Terezinha","CGHPHMG028242-1","MG","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","09/10/2009","1,000.00","1000","670","Não","-1","-1","","","100% para SPE Santa Terezinha Geração de Energia Ltda. (REG)","","Borda da Mata - MG"
"Santa Terezinha (Ivaté)","UTEAIPR028143-3","PR","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","02/09/2009","9,000.00","9000","0","Não","23°24'34,52""S","53°22'25,964""W","11-11-2004","11-11-2034","100% para USINA DE ACUCAR SANTA TEREZINHA LTDA (APE)","","Ivaté - PR"
"Santa Terezinha Paranacity","UTEAIPR028139-5","PR","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","22/08/2009","36,000.00","46000","12800","Não","22° 52' 35,040"" S","52° 10' 59,160"" W","17-11-2004","17-11-2034","100% para USINA DE ACUCAR SANTA TEREZINHA LTDA (PIE)","","Paranacity - PR"
"Santa Úrsula","EOLCVRN031425-0","RN","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","15/11/2016","27,300.00","27300","16600","Não","5° 17' 37,178"" S","35° 47' 21,540"" W","31-03-2014","31-03-2044","100% para Santa Úrsula Energias Renováveis S.A (PIE)","","Touros - RN"
"Santa Veridiana","EOLCVPI031685-7","PI","EOL","Construção","Eólica","Cinética do vento","Autorização","Cinética do vento","-","29,700.00","0","0","Não","7°21'54,43""S","40°33'15,54""W","21-07-2014","21-07-2044","100% para Central Eólica Lira Ltda (PIE)","","Caldeirão Grande do Piauí - PI"
"Santa Verônica","EOLCVPI031686-5","PI","EOL","Construção","Eólica","Cinética do vento","Autorização","Cinética do vento","-","29,700.00","0","0","Não","7°19'31,973""S","40°34'31,77""W","21-07-2014","21-07-2044","100% para Central Eólica Notus Ltda (PIE)","","Caldeirão Grande do Piauí - PI"
"Santa Vitória","UTEAIMG031268-1","MG","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","25/06/2015","41,400.00","41400","0","Não","18° 46' 29,69"" S","50° 14' 0,36"" W","04-11-2013","04-11-2043","100% para ERB MG Energias S.A (PIE)","","Santa Vitória - MG"
"Santana","PCHPHSP027415-1","SP","PCH","Operação","Hídrica","Potencial hidráulico","Concessão","Potencial hidráulico","","4,320.00","4320","2620","Não","-1","-1","20-11-1997","20-11-2027","100% para Jayaditya Empreendimentos e Participações Ltda (PIE)","","São Carlos - SP"
"Santana","UHEPHMG027126-8","MG","UHE","Operação","Hídrica","Potencial hidráulico","Concessão","Potencial hidráulico","01/01/1911","650.00","500","0","Não","-1","-1","29-12-1994","28-12-2024","100% para VOTORANTIM CIMENTOS S.A. (APE)","","Jacuí - MG"
"Santana do Araguaia – CEPA","UTEPEPA035725-1","PA","UTE","Operação","Fóssil","Petróleo","Autorização","Óleo Diesel","02/02/2017","15,990.00","15990","0","Não","9°20'35,8""S","50°20'1,95""W","24-05-2016","24-05-2051","79% para GUASCOR DO BRASIL LTDA (PIE) 21% para Soenergy – Sistemas Internacionais de Energia S.A (PIE)","","Santana do Araguaia - PA"
"Santana do Deserto I","CGHPHMG035745-6","MG","CGH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","25/05/2018","1,600.00","1600","1070","Não","21°57'49,111""S","43°9'18,517""W","09-03-2017","09-03-2052","100% para CENTRAL GERADORA HIDROELÉTRICA SANTANA DO DESERTO S.A (PIE)","58 - Paraiba do Sul","Santana do Deserto - MG"
"Santana do Uatumã","UTEPEAM029494-2","AM","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","06/10/2010","350.00","350","0","Não","2°34'40""S","57°59'25""W","","","100% para AMAZONAS ENERGIA S.A (REG)","","São Sebastião do Uatumã - AM"
"Santana do Uatumã - COE","UTEPEAM037690-6","AM","UTE","Construção","Fóssil","Petróleo","Autorização","Óleo Diesel","-","821.50","0","0","Não","2° 34' 34,000"" S","57° 59' 25,100"" W","02-08-2017","02-08-2052","100% para OLIVEIRA ENERGIA GERAÇÃO E SERVIÇOS LTDA (PIE)","","São Sebastião do Uatumã - AM"
"Santana I","EOLCVRN031810-8","RN","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","28/12/2016","30,000.00","30000","17300","Não","6° 3' 12,716"" S","36° 27' 20,058"" W","14-11-2014","14-11-2049","100% para SANTANA 1 ENERGIA RENOVÁVEL S.A. (PIE)","","Bodó - RN"
"Santana I","PCHPHMT028971-0","MT","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","26/04/2012","14,758.00","14758","8890","Não","-1","-1","15-10-2003","15-10-2033","100% para FIRENZE ENERGÉTICA S/A (PIE)","","Nortelândia - MT"
"Santana II","EOLCVRN031811-6","RN","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","28/12/2016","24,000.00","24000","13100","Não","6° 2' 33,914"" S","36° 27' 50,400"" W","14-11-2014","14-11-2049","100% para SANTANA 2 ENERGIA RENOVÁVEL S.A. (PIE)","","Lagoa Nova - RN"
"Santiago Fazenda Agrochapada","CGHPHMT040814-0","MT","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","25/03/2014","1,350.00","1350","0","Não","13°26'6""S","54°17'4""W","","","100% para AGROPECUÁRIA CHAPADA DOS GUIMARÃES S A (REG)","18 - Xingu e Paru","Paranatinga - MT"
"Santo Amaro do Piauí","EOLCVPI031691-1","PI","EOL","Construção","Eólica","Cinética do vento","Autorização","Cinética do vento","-","29,700.00","0","0","Não","7°21'51,91""S","40°33'57,79""W","21-07-2014","21-07-2049","100% para Central Eólica Coqueiral Ltda (PIE)","","Caldeirão Grande do Piauí - PI"
